1sup,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,10:28:12,10:40:39,,,,,,,,,,
,1,10:28,10:32,,,,,,,,,,
,2,10:32,10:35,,,,,,,,,,
,3,10:35,10:37,,,,,,,,,,
,4,10:37,10:40,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,10:43:53,10:57:50,,,,Railed,10:48,,,,,
,1,10:43,10:46,,scratching head,,,10:49,,,,,
,2,10:46,10:48,,,,,10:50,,,,,
,3,10:48,10:52,,,,,10:56,,,,,
,4,10:52,10:57,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,10:59:34,11:12:02,,,,,,,,,,
,1,10:59,11:02,,,,railed ,11:07,,,,,
,2,11:02,11:06,,,,,laughed,,,,,
,3,11:06,11:09,,,,,,,,,,
,4,11:09,11:12,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2shy,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,11:45:25,12:00:46,,,,,,,,,,
,1,11:45,11:51,,,,,,,,,,
,2,11:51,11:54,,,,,,,,,,
,3,11:55,12:00,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,12:02:21,12:17:31,,,,,,,,,,
,1,12:02,12:07,,,,,,,,,,
,2,12:07,12:09,,,,,,,,,,
,3,12:09,12:11,,,,,,,,,,
,4,12:11,12:17,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,12:18:31,12:29:05,,,,,,,,,,
,1,12:18,12:20,,,,,,,,,,
,2,12:20,12:22,,,,,,,,,,
,3,12:22,12:26,,,,,,,,,,
,4,12:26,12:29,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3vin,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,14:05:11,14:15:36,,actually started @ 14:00 but due to issue start time is 14:05 but he had seen the code,,,,,,,,
,1,14:03,14:06,,,,,,,,,,
,2,14:06,14:10,,,,,,,,,,
,3,14:10,14:13,,,,,,,,,,
,4,14:13,14:15,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,14:16:26,14:29:14,,,,,,,,,,
,1,14:16,14:19,,,,,,,,,,
,2,14:19,14:22,,,,,,,,,,
,3,14:22,14:25,,,,,,,,,,
,4,14:25,14:29,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,14:30:41,14:44:39,,,,,,,,,,
,1,14:31,14:33,,,,,,,,,,
,2,14:33,14:37,,,,,,,,,,
,3,14:37,14:41,,,,,,,,,,
,4,14:41,14:44,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
4,2019-05=25-15-12-51.txt,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,15:16:49,15:32:05,,,,,,,,,,
,1,15:17,15:21,,,,,,,,,,
,2,15:21,15:24,,,,,,,,,,
,3,15:24,15:26,,,,,,,,,,
,4,15:26,15:32,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,15:33:04,15:44:16,,,,,,,,,,
,1,15:33,15:35,,,,,,,,,,
,2,15:35,15:38,,,,,,,,,,
,3,15:38,15:40,,,,,,,,,,
,4,15:40,15:44,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,15:45:38,15:56:17,,,,,,,,,,
,1,15:45,15:48,,,,,,,,,,
,2,15:48,15:50,,,,,,,,,,
,3,15:50,15:53,,,,,,,,,,
,4,15:53,15:56,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
5,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,18:14:27,18:29:42,,,,,,,,,,
,1,18:14,15:21,,,,,,,,,,
,2,18:19,15:24,,,,,,,,,,
,3,18:21,18:23,18:28,18:29,,came back to the same problem,,,,,,
,4,18:23,18:28,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,18:31:13,18:46:28,,,,,,,,,,
,1,18:31,18:33,,,,,,,,,,
,2,18:33,18:37,,20,18:34:00,18:34:20,C,,,,,
,3,18:37,18:43,,,,,,,,,,
,4,18:43,18:46,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,18:48:22,19:03:40,,,,,,,,,,
,1,18:48,18:54,P,20 sec,18:49:00,18:49:20,P,1,2,3,.. 8,Python
,2,18:54,18:59,W,20,18:55:00,18:55:20,W,,,,,Writing
,3,18:59,19:01,P,,,,0:14,0:15,0:15,,,
,4,19:01,19:03,W,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
6,2019-16-01-14-34-10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,14:40:47:645,14:50:15:837,,,,,,,,,,
,1,14:40:47,,,0:09:28,0:12:56,0:12:13,,,,,,
,2,14:47,14:48:10,,,,,,,,,,
,3,14:48:12,,,,,,,,,,,
,4,,14:50:15,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,14:51:01:138,15:03:57,,,,,,,,,,
,1,14:51:01,14:55:45,,,,,,,,,,
,2,14:55:47,14:57:57,,,,,,,,,,
,3,14:57:59,15:00:42,,,,,,,,,,
,4,15:00:45,15:03:57,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,15:06:09:287,15:18:22:356,,,,,,,,,,
,1,15:06:09,15:09:26,,,,,,,,,,
,2,15:09:28,15:11:17,,,,,,,,,,
,3,15:11:19,15:16:55,,,,,,,,,,
,4,15:16:57,15:18:22,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
7,7udi.txt,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,15:38:07:878,15:53:25:202,,,,,,,,,,
,1,15:38:07,15:41:22,,0:15:18,0:15:18,0:12:07,,,,,,
,2,15:41:24,15:44:12,,,,,,,,,,
,3,15:44:14,15:47:53,,,,,,,,,,
,4,15:47:55,15:53:25,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,15:57:49:998,16:13:07:057,,,,,,,,,,
,1,15:57:49,16:02:30,,,,,,,,,,
,2,16:02:32,16:03:58,,,,,,,,,,
,3,16:04:00,16:07:16,,,,,,,,,,
,4,16:07:18,16:13:07,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,16:17:18,16:29:25:426,,,,,,,,,,
,1,16:17:18,16:19:29,,,,,,,,,,
,2,16:19:31,16:21:59,,,,,,,,,,
,3,16:22:01,16:24:10,,,,,,,,,,
,4,16:24:12,16:29:25,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
8,8ank,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,16:45:23:607,16:57:31:080,,,,,,,,,,
,1,16:45:23,16:48:37,,,0:12:08,0:15:26,0:13:54,,,,,
,2,16:48:38,16:51:31,,,,,,,,,,
,3,16:51:33,16:54:42,,,,,,,,,,
,4,16:54:42,16:57:31,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,16:59:02:027,17:14:28:219,,,,,,,,,,
,1,16:59:02,17:03:21,,,,,,,,,,
,2,17:03:23,17:07:51,,,,,,,,,,
,3,17:07:53,17:13:11,,,,,,,,,,
,4,17:13:13,17:14:28,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,17:15:15:411,17:29:09:325,,,,,,,,,,
,1,17:15:15,17:19:25,,,,,,,,,,
,2,17:19:27,17:22:21,,,,,,,,,,
,3,17:22:23,17:26:19,,,,,,,,,,
,4,17:26:21,17:29:09,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
9,9abh,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,11:21:47:520,11:37:10:469,,,,,,,,,,
,1,11:21:47,11:27:09,,,,,,,,,,
,2,11:27:09,11:30:00,,,0:15:23,0:15:24,0:13:09,,,,,
,3,11:30:00,11:33:31,,,,,,,,,,
,4,11:33:31,11:37:10,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,11:38:18:737,11:53:42:410,,,,,,,,,,
,1,11:38:18,11:42:49,,,,,,,,,,
,2,11:42:49,11:45:07,,,,,,,,,,
